First_junc_name,err_dist,Second_junction,,,
ULNR,,,,,
ABH,,,,,
CHKLL,,,,,
BUD,,,,,
VGI,,,,,
SHLU,,,,,
NRL,,,,,
BVS,,,,,
KJT,,,,,
 , , ,,,
KJT,0,PDI,,,
KJT,,,,,
PDI,,,,,
 , , ,,,
PDI,4.718765305,PUNE,,,
PDI,,,,,
JBC,,,,,
TKW,,,,,
MHLC,,,,,
KAD,,,,,
LNL,,,,,
LNLX,,,,,
MVL,,,,,
KMST,,,,,
KNHE,,,,,
VDN,,,,,
TGN,,,,,
GRWD,,,,,
SLRW,,,,,
BGWI,,,,,
DEHR,,,,,
AKRD,,,,,
CCH,,,,,
PMP,,,,,
KSWD,,,,,
DAPD,,,,,
KK,,,,,
SVJR,,,,,
PUNE,,,,,
 , , ,,,
DWR,9.58777628,LD,,,
DWR,,,,,
KRKP,,,,,
