First_junc_name,Second_junc_name,err_dist
RQP,3.504093264870587,BRAG,
KOK,0,WST,
WST,1.1130740656375506,MSF,
MSF,2.768506028658347,CGL,
VM,1.582285761348964,PDY,
ERS,0.4016424728506916,ERSD,
ERSD,11.125833242708584,KYJ,
KYJ,2.860013041578244,QLN,
QLN,6.608830557322964,TSI,
TSI,6.711646280477254,VPT,
VPT,7.108790274055854,MNM,
MNM,4.686935059756889,KKDI,
KKDI,3.9987997710354772,TPJ,
GOC,0.20407867424027162,TJ,
TJ,0.2762494427506443,NMJ,
NMJ,0.10524140837446866,TVR,
TVR,0.5203333683956404,XX-NGTB,
XX-NGTB,1.4029081227340308,XX-NGTB,
XX-NGTB,0,VLNK,
AJJ,0,AJJN,
RU,7.705272429899343,HX,
HX,2.127129001975838,YA,
YA,3.4852550958303135,GYJ,
GYJ,0,GY,
GY,0.8379480405166073,GTL,
GTL,5.656828867555166,XX-RCO,
XX-RCO,3.6675752121940266,YY-WADB,
YY-WADB,0,WADI,
WADI,0.6036404541151364,KLBG,
KLBG,4.96731770906502,HG,
HG,0,TKWD,
TKWD,0.04467297539193669,SUR,
KJT,2.187373631968423,PNVL,
DWJN,0,DCTL,
PGDP,4.195377591147052,NDKD,
NDKD,3.8936505255476654,NLPD,
NLPD,0,GNT,
GNT,0,MIX,
MIX,2.339286020237725,TEL,
PTJ,4.040466264166739,POY,
SMET,1.327989802769605,SPV,
SPV,0,RRB,
RRB,0,DRU,
DRU,2.4599894145129584,ASK,
ASK,0,ADHL,
ADHL,9.233681798284827,SDVL,
SDVL,0.10830808016016258,XX-YRPL,
XX-YRPL,0,YPRA,
YPRA,0,LOGH,
LOGH,1.2092546915332696,BAND,
BAND,0.20499381766108754,BYPY,
BYPY,0,BYPL,
BYPL,0,BPHI,
BPHI,0,KJM,
KJM,0.1305468586836932,HDIH,
HDIH,0.30847269752265144,BWT,
BWT,3.946559391391832,XX-JTJB,
XX-JTJB,0,JTJ,
RRB,3.277655904744371,JRU,
JRU,2.0704514336896116,BAHI,
BAHI,0,CHKE,
CHKE,0.5877158450120465,BOMN,
BOMN,0,MOMU,
MOMU,0,RDG,
RDG,2.7312123666004395,BAY,
BAY,0.38534924847164564,GTLW,
GTLW,0,GTL,
MKM,3.092006802699071,BWT,
BPHI,0,CSDR,
CSDR,0.5763823587646458,YNK,
YNK,6.1225021352500315,PKD,
PKD,11.1410519289025,DMM,
YPR,0,XX-YRPL,
JRU,4.033649566365834,AVC,
AVC,5.429607323557162,TBDM,
TBDM,0,YY-HPTA,
YY-HPTA,0,HPT,
HPT,0,XX-HPTB,
XX-HPTB,0,MRB,
MRB,0.8297932521421828,GIN,
GIN,0.5035187726562733,SOQ,
SOQ,1.3835284000656014,RLP,
RLP,1.3256364337501847,GDG,
KJM,0,CSDR,
SBC,1.1365620095232891,BYPL,
YNK,0.2926301167992843,LOGH,
YPRA,0,YPR,
YPR,0.3784841498302308,SBC,
SBC,4.135766256189075,MYS,
BPHI,0,BYPA,
CPH,1.6792144185672753,BSP,
TVR,11.0983863144931,KKDI,
MQ,0,NMJ,
UBL,2.526986237273611,BKIT,
BKIT,0.15821055215655233,GDG,
LD,4.274968432533617,MAO,
MJO,1.5724365106468783,VSG,
UBL,5.25918499628227,LWR,
LWR,1.416326859195015,AVA,
RJY,1.80026056404978,KVR,
KCC,0.3121938581594501,NGNC,
NGNC,0,GNT,
NGP,0.6591080097057739,ITR,
ITR,0.5146867056475364,KNHN,
KNHN,3.7948091199794285,TMR,
TMR,2.053653585445011,G,
G,10.432923748038524,DLCB,
DLCB,0.5570300808652768,BIA,
BIA,0.1068081082089734,GCAB,
GCAB,0.518751553568214,SZB,
SZB,0.32587628161549304,R,
R,0.03428425837277048,URK,
URK,1.3201560099979608,YY-BSPB,
YY-BSPB,0,BSP,
CPH,2.849713582417189,XX-JSGB,
XX-JSGB,0,JSG,
JSG,4.8880010195440144,ROU,
ROU,1.0659988981794286,YY-BGKO,
YY-BGKO,14.262378263471902,RNC,
RNC,0.532664231593921,GAG,
GAG,0.3187324072430082,KITA,
KITA,2.3603752465518233,MURI,
MURI,1.6289632531324887,KSX,
KSX,0,DRGU,
DRGU,2.9437670021503095,CRP,
CRP,0.12012557218735045,GMO,
MPO,0.26807694662156617,TIA,
TIA,4.734067170900604,LKR,
MTM,2.6534835484457924,GDV,
PAU,1.2771300611391918,PBN,
TALL,0,HTZU,
HTZU,0.00010445057369190113,RJO,
RJO,0.6636041078279458,YY-BJUC,
YY-BJUC,0,BJU,
SPJ,1.908047772819722,DBG,
DBG,4.0190113537770085,BHSA,
RU,3.8459474115957426,PAK,
PAK,2.272449925646104,KPD,
ERSC,0,ERSD,
VBC,0.7223769259728817,VBC,
NGNC,0.2925548833348401,MIX,
NLPD,11.233388167089,NDL,
NDL,4.210117876413195,DHNE,
DHNE,1.7677937244665913,PDL,
PDL,2.447249135493064,GTL,
NS,5.831862070017991,BVRM,
BVRM,0,BVBC,
AVC,6.5309036605761905,UBL,
ASK,4.526474392713906,HAS,
HAS,11.211468849980317,MAJN,
XX-SJVB,0,BMT,
BMT,1.7359487924259192,TLPR,
TLPR,2.9805750693521906,VKB,
VKB,4.388541674905797,KHNP,
KHNP,4.220361249440754,LTRR,
LTRR,14.639141421481364,PBN,
JKPR,9.49171609956266,PDPH,
PDPH,8.66003809578718,XX-RKSN,
XX-RKSN,0,RKSN,
RKSN,0.5079208760359315,SINI,
SINI,0.14925692093995438,GMH,
GMH,0.24860149701035106,TATA,
NMZ,0.923931147470659,MYGD,
MYGD,0.45075448436883464,NCBD,
NCBD,3.2750062576216905,NCB,
NCB,7.558824244246847,GKJ,
GKJ,2.418585418924317,DBB,
GKJ,2.465759215820826,FKM,
ANK,7.796563518874482,PBN,
KPD,14.95153291225695,VM,
VM,4.024662336357537,CUPJ,
CUPJ,2.8720908813803954,MV,
MV,3.153999889978289,TJ,
MDU,0.8221960609798146,MNM,
MNM,10.026318746282517,RMM,
KGPW,0,NMP,
SHM,0.3857700708895617,SRC,
BRAG,8.247794878150916,BRAG,
KUR,1.60096662988997,PURI,
XX-MRGC,0,MRGF,
MRGF,0,SRC,
KGP,1.5009680530856957,GKL,
GKL,2.3937192965976575,VSU,
VSU,1.5122105691163479,BQA,
GAYA,4.964273891952466,PNBE,
BLGR,2.761271031616927,TIG,
TIG,1.8551742970668665,LJR,
LJR,5.763212978563464,SPRD,
SPRD,4.986345277365833,VBL,
VBL,3.260386049526442,VZM,
CNA,0,TVTN,
TVTN,4.429527560559322,JNRI,
JNRI,1.9758076241852656,SNAR,
SNAR,2.542617364166031,GQL,
KOTA,0.4710456087536946,SGAC,
SGAC,7.055925698998386,RTA,
GUNA,10.905187688976103,MDVK,
MDVK,0.49466569073096733,MAKR,
KMZ,0,XX-NKJB,
XX-NKJB,0.16861212679168747,XX-KMZO,
XX-KMZO,3.5657969177146334,APR,
APR,3.864740866254429,BCCB,
BCCB,0,YY-BSPB,
R,11.015743681692644,TIG,
BLGR,10.584393971972041,SBPD,
SBPD,0,SBPY,
SBPY,16.860112507742212,TLHD,
TLHD,0,XX-TLHB,
XX-TLHB,1.2975260715816679,RJGR,
RJGR,0,MZY,
SQQ,0,NRG,
VSKP,0.4122710226416577,GPT,
GPT,0,JGPM,
SNEC,0,SUNW,
SUNW,3.347720198405092,DLJ,
DLJ,3.601999545959693,SOJN,
SOJN,2.4073104312713562,PIT,
AII,5.154831964786423,MJ,
MJ,4.747699337359266,PNU,
PNU,2.2234729996830875,MSH,
MSH,0.684355566189181,UMN,
UMN,0.1582714373447809,KLL,
KLL,0.003832294903903091,KHDB,
KHDB,0.43193079369039583,SBTA,
SBTA,1.293854241119889,SBTA,
XX-ANNC,0,XX-ANNB,
XX-ANNB,9.204221953268478,GDA,
GIMB,6.320305403330641,SIOB,
SIOB,5.814513926009504,MALB,
MALB,2.1820952932975812,DHG,
DHG,3.90600092986834,VGDC,
AH,1.6003080232379814,MTJ,
MTJ,1.8555417963221517,KSJ,
KSJ,3.281909883189554,FBD,
FBD,2.8901766662567465,CNB,
NKE,7.028110723755632,SGL,
SGL,2.8609668185520047,MFP,
MVJ,12.59873285600384,MJ,
XX-DKZO,0,DKZ,
DKZ,0.14400640905691428,DBSI,
DBSI,0,PTNR,
PTNR,1.2115061945499872,GHH,
GHH,2.2010611242400864,XX-REO,
XX-REO,0,RE,
RE,13.86517495113357,RGS,
RGS,3.5919628654348887,FL,
STC,0.38920742652981344,MM,
BEC,0,XX-BECD,
